method,label,n_scenes,psnr_mean,psnr_std,psnr_ci95,ssim_mean,ssim_std,ssim_ci95,lpips_mean,lpips_std,lpips_ci95,scenes
conformal_color,Conformal color,9,19.185013877020943,4.086354550142722,2.6697516394265777,0.5602100325955285,0.2341989551383526,0.1530099840237237,0.382403411799007,0.12916160500803103,0.08438558193858027,"bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill"
conformal_sensitivity,Conformal sensitivity,9,18.8027736875746,2.5902233054058743,1.6922792261985045,0.5642617377969954,0.15931568505202953,0.10408624756732597,0.38448215193218654,0.08285423962657334,0.054131436556027916,"bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill"
conformal_visibility,Conformal visibility,9,20.50757779015435,2.9545297853987833,1.9302927931272051,0.6104081173737844,0.19881085658714315,0.12988975963693353,0.34808216326766545,0.10126518648405976,0.06615992183625237,"bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill"
raw_sensitivity,Raw sensitivity,9,18.938661363389755,2.6695674909314353,1.7441174274085378,0.5736655725373162,0.16297402326979557,0.10647636186959976,0.37812958823310006,0.08298348465590674,0.05421587664185907,"bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill"
uniform,Uniform,9,18.37722894880507,1.7431273500789897,1.1388432020516066,0.5345665746264987,0.13303909117864854,0.08691887290338372,0.4030900067753262,0.06276887001508989,0.0410089950765254,"bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill"
fisherrf_paper_avg,FisherRF avg. (20 views),paper avg.,20.89,,,0.608,,,0.416,,,Mip-NeRF360 paper average
popgs_paper_avg,POP-GS avg. (20 views),paper avg.,20.568,,,0.608,,,0.365,,,Mip-NeRF360 paper average
